"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.501137167E1,2.550110667E1,1.493584496E1,9.265000001E-3,2.829299927E2,3.299999952E0,2.100000000E1
0.000000000E0,6.501135167E1,2.550101500E1,1.543586275E1,5.559000000E-2,2.829299927E2,2.500000000E0,2.060000038E1
0.000000000E0,6.501134833E1,2.550099500E1,1.543586626E1,6.660505533E-1,2.268999939E2,2.400000095E0,2.070000076E1
0.000000000E0,6.501135167E1,2.550097333E1,1.543586762E1,1.003708363E0,2.243300018E2,2.299999952E0,2.079999924E1
0.000000000E0,6.501136000E1,2.550092000E1,1.603587092E1,1.243568897E0,2.545200043E2,1.899999976E0,2.000000000E1
0.000000000E0,6.501136333E1,2.550090333E1,1.613587169E1,1.512253881E0,2.612300110E2,1.700000048E0,2.020000076E1
0.000000000E0,6.501136167E1,2.550087833E1,1.603587520E1,1.704759955E0,2.588900146E2,1.600000024E0,2.100000000E1
0.000000000E0,6.501136000E1,2.550083000E1,1.603588145E1,1.565270305E0,2.690000000E2,1.600000024E0,1.879999924E1
0.000000000E0,6.501135833E1,2.550080500E1,1.593588496E1,1.751085043E0,2.688200073E2,1.500000000E0,1.789999962E1
0.000000000E0,6.501135667E1,2.550077333E1,1.513588926E1,1.696009755E0,2.572600098E2,1.600000024E0,1.820000076E1
0.000000000E0,6.501135500E1,2.550073833E1,1.513589394E1,1.480341077E0,2.712399902E2,1.700000048E0,1.829999924E1
0.000000000E0,6.501135500E1,2.550071167E1,1.513589706E1,1.437619209E0,2.816799927E2,1.799999952E0,1.860000038E1
0.000000000E0,6.501135667E1,2.550068333E1,1.493589979E1,1.427839398E0,2.925899963E2,1.799999952E0,1.910000038E1
0.000000000E0,6.501135500E1,2.550065167E1,1.483590408E1,1.735643387E0,2.589599915E2,1.799999952E0,1.900000000E1
0.000000000E0,6.501135000E1,2.550061333E1,1.473591033E1,1.513283372E0,2.629400024E2,1.799999952E0,1.929999924E1
0.000000000E0,6.501134833E1,2.550057500E1,1.483591541E1,1.519974709E0,2.717399902E2,1.799999952E0,1.929999924E1
0.000000000E0,6.501135000E1,2.550052833E1,1.503592028E1,1.374308348E0,2.717799988E2,1.600000024E0,1.750000000E1
0.000000000E0,6.501135000E1,2.550051167E1,1.513592223E1,1.592035890E0,2.767500000E2,1.600000024E0,1.750000000E1
0.000000000E0,6.501135500E1,2.550049333E1,1.523592261E1,1.592035890E0,2.731000061E2,1.500000000E0,1.750000000E1
0.000000000E0,6.501135833E1,2.550047167E1,1.533592396E1,1.465928912E0,2.775499878E2,1.500000000E0,1.770000076E1
0.000000000E0,6.501136000E1,2.550045333E1,1.523592552E1,1.356807828E0,2.731799927E2,1.500000000E0,1.800000000E1
0.000000000E0,6.501135833E1,2.550042333E1,1.523592962E1,1.373793602E0,2.689800110E2,1.500000000E0,1.870000076E1
0.000000000E0,6.501135833E1,2.550038667E1,1.543593391E1,1.544166684E0,2.679400024E2,1.500000000E0,1.889999962E1
0.000000000E0,6.501135333E1,2.550035333E1,1.563593958E1,1.509165525E0,2.638599854E2,1.500000000E0,1.760000038E1
0.000000000E0,6.501135333E1,2.550032167E1,1.593594328E1,1.524092555E0,2.553999939E2,1.500000000E0,1.800000000E1
2.148694807E1,6.501122810E1,2.550043060E1,1.923597559E1,NaN,NaN,1.229100037E1,1.000000000E0
4.154194807E1,6.501118220E1,2.550021490E1,1.933601556E1,NaN,NaN,1.536299992E1,1.000000000E0
6.134694807E1,6.501105720E1,2.550011910E1,1.923607255E1,NaN,NaN,3.078800011E1,1.987644315E0
8.124994807E1,6.501088080E1,2.550033140E1,1.973611006E1,NaN,NaN,5.445800018E1,5.645030499E0
1.022849481E2,6.501069510E1,2.550049720E1,2.153615550E1,NaN,NaN,1.568999939E2,8.320500183E1
1.211859481E2,6.501061580E1,2.550042140E1,2.603619245E1,NaN,NaN,1.496000061E2,3.181096649E1
1.412619481E2,6.501022130E1,2.549191770E1,1.563582481E1,NaN,NaN,1.100000000E2,8.461524963E0
1.622719481E2,6.501031580E1,2.549159680E1,1.503577016E1,NaN,NaN,7.016600037E1,4.376011848E0
1.823889481E2,6.501033590E1,2.549118620E1,1.583573388E1,NaN,NaN,4.615200043E1,2.643042803E0
2.025449481E2,6.501028930E1,2.549162700E1,1.583578104E1,NaN,NaN,6.294699860E1,2.434715986E0
2.238929481E2,6.500957630E1,2.549471300E1,1.553624963E1,NaN,NaN,6.441799927E1,2.491996765E0
2.438929481E2,6.500976900E1,2.549257170E1,1.573603501E1,NaN,NaN,5.877999878E1,1.065971494E0
2.640339481E2,6.501050440E1,2.549099220E1,1.573566112E1,NaN,NaN,5.946400070E1,1.815901875E0
2.838159481E2,6.501095950E1,2.549016960E1,1.573543948E1,NaN,NaN,9.186100006E1,2.715666294E0
3.053509481E2,6.501093440E1,2.549015720E1,1.573544772E1,NaN,NaN,6.080099869E1,1.186994195E0
3.252209481E2,6.501100080E1,2.548998580E1,1.573541177E1,NaN,NaN,4.384700012E1,1.092207789E0
3.460849481E2,6.501112210E1,2.548931530E1,1.573532121E1,NaN,NaN,2.309799957E1,1.000000000E0
3.670159481E2,6.501100970E1,2.548958790E1,1.573538093E1,NaN,NaN,3.090699959E1,1.583600283E0
